新竹,#genre#
?32,https://fc.imgscloud.com/c/voutcatdbd/voutcatdbd.m3u8
?33,https://fc.imgscloud.com/h/tbacaassut/tbacaassut.m3u8
靖天卡通台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv044
靖洋戏剧台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv045
靖天综合台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv046
靖天日本台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv047
非凡商业,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv048
采昌影剧,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv049
台视新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv051
华视新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv052
GinxTV,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv053
靖天欢乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv054
靖天映画,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv055
台视财经,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv056
靖洋卡通台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv057
靖天戏剧台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv058
古典音乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv059
靖天电影台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv061
靖天育乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv062
靖天国际台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv063
中视菁采,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv064
靖天资讯台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv065
台视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv066
TVBS精采台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv067
TVBS欢乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv068
爱尔达娱乐,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv070
TVBS新闻台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv072
TVBS HD,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv073
中视新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv074
镜新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv075
CATCHPLAY电影台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv076
TRACE SPORTS STARS,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv077
阿里郎,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv079
中视经典,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv080
TRACE URBAN,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv082
MEZZO LIVE,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv083
国会频道1,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv084
国会频道2,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv085
智林体育台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv101
国际财经,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv104
中天亚洲台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv109
东森新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv152
东森财经新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv153
民视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv155
民视台湾台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv156
美国之音,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv03
民视旅游,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv07
民视影剧,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv09
半岛新闻,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv10
民视新闻台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv13
爱放动漫,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv15
好消息,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv16
好消息2台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv17
龙华卡通,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn01
龙华电影,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn03
博斯魅力,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn04
博斯高球1,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn05
博斯高球2,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn06
博斯运动1,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn07
博斯运动2,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn08
博斯网球,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn09
博斯无限,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn10
龙华日韩,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn11
龙华偶像,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn12
博斯无限2,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn13
寰宇新闻台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn14
寰宇新闻台湾台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn15
亚洲旅游台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn17
龙华戏剧,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn18
Smart知识台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn19
生活英语台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn20
龙华经典,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn21
台湾戏剧台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn22
CNN International,http://61.224.69.212:9088/udp/224.1.4.235:11111
CNN International,http://61.224.69.212:9088/udp/230.1.2.69:11111
Discovery Asia,http://61.224.69.212:9088/udp/230.1.2.168:11111
Discovery Asia,http://61.224.69.212:9088/udp/230.1.2.6:11111
Discovery科學頻道,http://61.224.69.212:9088/udp/230.1.2.12:11111
Discovery科學頻道,http://61.224.69.212:9088/udp/230.1.2.212:11111
DMAX,http://61.224.69.212:9088/udp/230.1.2.13:11111
DMAX,http://61.224.69.212:9088/udp/230.1.2.213:11111
DreamWorks,http://61.224.69.212:9088/udp/224.1.4.121:11111
DreamWorks,http://61.224.69.212:9088/udp/224.1.4.177:11111
德國之聲電視台,http://61.224.69.212:9088/udp/224.1.4.120:11111
德國之聲電視台,http://61.224.69.212:9088/udp/224.1.4.147:11111
ELEVEN SPORTS PLUS,http://61.224.69.212:9088/udp/224.1.4.115:11111
ELEVEN SPORTS PLUS,http://61.224.69.212:9088/udp/224.1.4.189:11111
ELEVEN SPORTS 2,http://61.224.69.212:9088/udp/224.1.4.156:11111
ELEVEN SPORTS 2,http://61.224.69.212:9088/udp/230.1.2.79:11111
ELTV生活英語台,http://61.224.69.212:9088/udp/224.1.4.216:11111
ELTV生活英語台,http://61.224.69.212:9088/udp/230.1.2.83:11111
ETtoday綜合台,http://61.224.69.212:9088/udp/224.1.4.212:11111
Euronews,http://61.224.69.212:9088/udp/224.1.4.119:11111
EUROSPORT,http://61.224.69.212:9088/udp/224.1.4.135:11111
EVE,http://61.224.69.212:9088/udp/230.1.2.14:11111
EVE,http://61.224.69.212:9088/udp/230.1.2.214:11111
EYE TV戲劇台,http://61.224.69.212:9088/udp/224.1.4.60:11111
EYE TV戲劇台,http://61.224.69.212:9088/udp/230.1.2.134:11111
EYE TV旅遊台,http://61.224.69.212:9088/udp/224.1.4.192:11111
EYE TV旅遊台,http://61.224.69.212:9088/udp/224.1.4.61:11111
EYE TV旅遊台,http://61.224.69.212:9088/udp/230.1.2.135:11111
時尚頻道,http://61.224.69.212:9088/udp/230.1.2.177:11111
Food Network 美食台頻道,http://61.224.69.212:9088/udp/224.1.4.211:11111
Food Network 美食台頻道,http://61.224.69.212:9088/udp/224.1.4.57:11111
FRANCE24(English),http://61.224.69.212:9088/udp/224.1.4.166:11111
FRANCE24(English),http://61.224.69.212:9088/udp/230.1.2.24:11111
FRANCE24(French),http://61.224.69.212:9088/udp/230.1.2.15:11111
Global Trekker,http://61.224.69.212:9088/udp/224.1.4.162:11111
Global Trekker,http://61.224.69.212:9088/udp/224.1.4.82:11111
GOOD TV 2,http://61.224.69.212:9088/udp/224.1.4.122:11111
GOOD TV 2,http://61.224.69.212:9088/udp/230.1.2.151:11111
HGTV 居家樂活頻道,http://61.224.69.212:9088/udp/224.1.4.183:11111
HGTV 居家樂活頻道,http://61.224.69.212:9088/udp/224.1.4.80:11111
HITS,http://61.224.69.212:9088/udp/224.1.4.136:11111
i-Fun動漫台,http://61.224.69.212:9088/udp/230.1.2.223:11111
i-Fun動漫台,http://61.224.69.212:9088/udp/230.1.2.26:11111
INULTRA,http://61.224.69.212:9088/udp/230.1.2.145:11111
Lifetime,http://61.224.69.212:9088/udp/224.1.4.230:11111
Lifetime,http://61.224.69.212:9088/udp/230.1.2.64:11111
LOVE NATURE,http://61.224.69.212:9088/udp/224.1.4.182:11111
LUXE TV Channel,http://61.224.69.212:9088/udp/230.1.2.16:11111
LUXE TV Channel,http://61.224.69.212:9088/udp/230.1.2.176:11111
My Cinema Europe HD 我的歐洲電影,http://61.224.69.212:9088/udp/230.1.2.129:11111
Mezzo Live HD,http://61.224.69.212:9088/udp/224.1.4.240:11111
Mezzo Live HD,http://61.224.69.212:9088/udp/230.1.2.81:11111
MOD 4K LIVE,http://61.224.69.212:9088/udp/230.1.2.203:11111
